Skill_Id,Skillset
1059,datacenter
1060,emcisa
1061,hp storage
1062,brocade fibre switches
1063,after effects
1064,adobe premiere pro
1065,jms
1066,linux scripting
1067,tomcat 5
1068,oracle service bus
1069,amdocs clarify
1070,openshift
1071,tableau admin
1072,teradata data warehouse
1073,testng
1074,cucumber
1075,mainframe
1076,tabaleu
1077,uft
1078,ui automation
1079,sikuli
1080,angular 8
1081,maven
1082,zuul api gateway
1083,single sign-on (sso)
1084,ldap
1085,dreamweaver
1086,unity3d
1087,janusgraph
1088,user experience (ux)
1089,tamil
1090,trading
1091,analytical
1092,good communication
1093,cisco networking
1094,network monitoring tools
1095,computer science
1096,network marketing
1097,entertainment
1098,sap sd
1099,sap hybris
1100,sap crm
1101,sap-sd
1102,sap functional consultants
1103,sap brim
1104,ado.net
1105,entity framework
1106,openstack
1107,network function virtualization
1108,amazon web services (aws)
1109,pentaho
1110,vmware vsphere
1111,vmware workstation
1112,linq
1113,language integrated query (linq)
1114,business
1115,supervised learning
1116,unsupervised learning
1117,time series analysis
1118,angular 4
1119,ejb
1120,c# 4.0
1121,silverlight
1122,windows phone
1123,unit testing
1124,appium
1125,sonarqube
1126,mobile application development
1127,bmc remedy ar system
1128,bmc remedy administration
1129,srm
1130,electronics
1131,embedded software
1132,labview
1133,ni labview
1134,creavitiy and self confidence
1135,linux system administration
1136,cloud applications
1137,domain name system (dns)
1138,amazon route 53
1139,topaz
1140,high performance computing (hpc)
1141,splunk
1142,apigee trace
1143,vugen
1144,comptia network+
1145,amazon redshift
1146,amazon ec2
1147,consumer services
1148,senior associate
1149,database administration
1150,xslt
1151,tomcat
1152,database systems
1153,continuous integration
1154,continuous delivery
1155,bash
1156,scss
1157,affiliate marketing
1158,raspberry pi
1159,api automation and manual
1160,api automation
1161,watson
1162,ssis
1163,nosql
1164,talend
1165,content based image retrieval (cbir)
1166,classification
1167,clustering
1168,msbi
1169,web scraping
1170,ucce
1171,cisco uccx
1172,cisco ucce
1173,cisco call manager
1174,cisco pcce
1175,cisco ipt
1176,automation developer
1177,computer hardware
1178,machine learning algorithms
1179,rdbms
1180,data warehousing
1181,data architecture
1182,postgresql
1183,aws lambda
1184,aws glue
1185,amazon s3
1186,amazon athena
1187,business intelligence tools
1188,teradata sql
1189,greenplum
1190,amazon dynamodb
1191,mariadb
1192,software architectural design
1193,mssql
1194,user stories
1195,process assessment
1196,neural networks
1197,amdocs crm
1198,salesforce.com consulting
1199,job control language (jcl)
1200,ibm mainframe
1201,sql db2
1202,cics
1203,vas
1204,gprs
1205,offboarding
1206,leaflet
1207,arcgis server
1208,telecom bss/oss
1209,charging systems
1210,restful webservices
1211,sdn/nfv
1212,model-view-controller (mvc)
1213,kaizen
1214,qlikview
1215,qlik nprinting
1216,qlikview development
1217,qlikview administration
1218,etl testing
1219,dwh
1220,red hat linux
1221,centos
1222,samba
1223,websphere application server
1224,junit
1225,jboss application server
1226,servlets
1227,red hat certified engineer (rhce)
1228,demand generation
1229,consultative sales
1230,solution sales
1231,enterprise software sales
1232,needs analysis
1233,strategic sales planning
1234,problem management
1235,configuration management
1236,bmc patrol
1237,service level management
1238,store operations
1239,relationship management
1240,virtual teams
1241,business case
1242,business partner hr
1243,hr generalist
1244,credit
1245,credit risk
1246,facilitation
1247,stakeholder engagement
1248,strengthsfinder
1249,customer engagement
1250,offshore software development
1251,growing revenue
1252,data virtualization
1253,m6 (aka mss
1254,metasolv solution)
1255,offshore management
1256,corporate blogging
1257,kt
1258,bid preparation
1259,react native
1260,ruby on rails
1261,golang
1262,groovy
1263,hypertext transfer protocol (http)
1264,macros
1265,strategic alliances
1266,enterprise solution sales
1267,gtm
1268,program management professional
1269,sales channel development
1270,hp application lifecycle management
1271,etl
1272,vmware infrastructure
1273,e commerce testing
1274,web hosting
1275,electronics hardware design
1276,electronics technology
1277,wideband code division multiple access (wcdma)
1278,wireless networking
1279,creative problem solving
1280,supervisory skills
1281,radio frequency (rf) engineering
1282,rf design
1283,rf test
1284,drive testing
1285,electronics manufacturing
1286,man management
1287,jira administration
1288,os x
1289,servers
1290,ssl certificates
1291,cpanel
1292,dns management
1293,secure sockets layer (ssl)
1294,whm
1295,rman
1296,oracle rac
1297,data guard
1298,oracle enterprise manager
1299,oracle certified dba
1300,project managers
1301,ayehu eyeshare
1302,ginger
1303,android development
1304,backup & recovery systems
1305,commvault
1306,cdp
1307,pure storage flasharray
1308,hitachi storage
1309,hpdp
1310,life sciences
1311,siebel
1312,rqm
1313,cloud
1314,onap
1315,osgi
1316,billing systems
1317,java message service (jms)
1318,microsoft power bi
1319,tortoise svn
1320,spl
1321,angular material
1322,salesforce.com
1323,java swing
1324,microsoft dynamics crm
1325,business operations analyst
1326,sql server reporting services (ssrs)
1327,telecom analyst
1328,amdocs
1329,contact center management
1330,contact center technology
1331,contact center operations
1332,mpls vpn
1333,hsrp
1334,functional design
1335,business intelligence (bi)
1336,google analytics
1337,microsoft azure machine learning
1338,knime
1339,artificial neural networks
1340,dynamic host configuration protocol (dhcp)
1341,system administration
1342,seo
1343,azure administrator
1344,crimping
1345,sap business software
1346,rr connect
1347,asp.net core
1348,blazor
1349,web api
1350,back-end web development
1351,cross-platform development
1352,food & beverage
1353,software
1354,eigrp
1355,tuxedo
1356,store management
1357,mcitp
1358,windows 7
1359,logical volume manager (lvm)
1360,nfs
1361,iscsi
1362,rhel
1363,field service engineering
1364,computer hardware installation
1365,network address translation (nat)
1366,selinux
1367,virtualbox
1368,red hat enterprise linux (rhel)
1369,ticketing
1370,vbscript
1371,dj
1372,decision making
1373,dutch
1374,unix administration
1375,vss
1376,disaster recovery
1377,oracle e-business suite
1378,product innovation
1379,design
1380,sound design
1381,music production
1382,robotics
1383,psychology
1384,sap businessobjects
1385,creativity skills
1386,logical approach
1387,lean six sigma
1388,iso standards
1389,sql server
1390,it hardware support
1391,computer hardware troubleshooting
1392,employement based immigration
1393,pyspark
1394,\uf0fc\tintegrated receiver/decoder: ericsson/tandberg
1395,cisco/scientific atlanta
1396,harm
1397,\uf0fc\tencoder: harmonic electra 9240
1398,electra x
1399,divicom electra 5422
1400,\uf0fc\tmultiplexer: harmonic prostream 9100/9000/1000
1401,\uf0fc\tnms: harmonic’s nmx digital service manager
1402,\uf0fc\tcomposite to sdi video conversion/embedding audio: selenio frame
1403,harris x75sd
1404,\uf0fc\tasi/mpeg ts analysis tools - dvstation
1405,dektec
1406,software installation
1407,server administration
1408,microsoft certified professional
1409,windows 8
1410,hyper-v
1411,symantec endpoint protection
1412,symantec backup
1413,wsus
1414,dns administration
1415,file servers
1416,data recovery
